OBJECTID,NAME,COMMPLAN,SHARED,COALIT,HORZ_VERT,MAPLABEL,ID,Shape_Length
25,ROSEWAY, ,N,CNN,HORZ,Roseway,25,9124.34337107095
26,MADISON SOUTH, ,N,CNN,HORZ,Madison South,26,15428.6431097554
27,ARGAY/WILKES COMMUNITY GROUP, ,Y,EPCO,,Argay/Wilkes Community Group,27,1481.61879051036
28,BOISE/ELIOT, ,Y,NECN,,Boise/Eliot,28,2598.5092600762
29,ELIOT,ALBINA,N,NECN,HORZ,Eliot,29,9198.63730447349
30,IRVINGTON COMMUNITY ASSOCIATION,ALBINA,N,NECN,HORZ,Irvington Community Association,30,8516.42804913475
31,SABIN COMMUNITY ASSN./IRVINGTON COMMUNITY ASSN.,ALBINA,Y,NECN,,Sabin Community Assn./Irvington Community Assn.,31,3258.71546072574
32,ALAMEDA/IRVINGTON COMMUNITY ASSN.,ALBINA,Y,NECN,,Alameda/Irvington Community Assn.,32,3103.72994316453
33,ROSE CITY PARK, ,N,CNN,VERT,Rose City Park,33,9985.76927803335
34,PARKROSE HEIGHTS ASSOCIATION OF NEIGHBORS, ,N,EPCO,HORZ,Parkrose Heights Association of Neighbors,34,8951.87725422067
35,NORTHWEST DISTRICT ASSOCIATION, ,N,NWNW,HORZ,Northwest District Association,35,18466.1000036877
36,ALAMEDA/BEAUMONT-WILSHIRE, ,Y,NECN,,Alameda/Beaumont-Wilshire,36,1387.2956695582
37,FOREST PARK/NORTHWEST DISTRICT ASSOCIATION, ,Y,NWNW,,Forest Park/Northwest District Association,37,1331.04731595814
38,RUSSELL, ,N,EPCO,HORZ,Russell,38,8549.66825551128
39,ROSEWAY/MADISON SOUTH, ,Y,CNN,,Roseway/Madison South,39,2745.41735417458
40,GRANT PARK, ,N,CNN,HORZ,Grant Park,40,8180.79133809637
41,MC UNCLAIMED #5, ,N,UNCLAIMED,NA,MC Unclaimed #5,41,1742.26174820253
42,PEARL DISTRICT, ,N,NWNW,VERT,Pearl District,42,6505.41772633756
43,GRANT PARK/HOLLYWOOD, ,Y,CNN,,Grant Park/Hollywood,43,2632.05492183653
44,HOLLYWOOD, ,N,CNN,HORZ,Hollywood,44,4262.70304814797
45,WOODLAND PARK, ,N,EPCO,VERT,Woodland Park,45,2276.12493191221
46,LLOYD DISTRICT COMMUNITY ASSOCIATION, ,N,NECN,HORZ,Lloyd District Community Association,46,7478.12856567388
47,SULLIVAN'S GULCH, ,N,NECN,HORZ,Sullivan's Gulch,47,5601.66185352615
48,SULLIVAN'S GULCH/GRANT PARK, ,Y,NECN/CNN,,Sullivan's Gulch/Grant Park,48,1578.44577766691
49,MONTAVILLA,OUTER SE,N,SEUL,VERT,Montavilla,49,15469.0850848816
